survey_year,indicator_name,values,country_name,hdi_category,reference
,HDI rank,64,Belarus,HIGH HUMAN DEVELOPMENT,
,HDI rank,65,Mauritius,HIGH HUMAN DEVELOPMENT,
,HDI rank,66,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,
,HDI rank,67,Russian Federation,HIGH HUMAN DEVELOPMENT,
,HDI rank,68,Albania,HIGH HUMAN DEVELOPMENT,
,HDI rank,69,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,
,HDI rank,70,Brazil,HIGH HUMAN DEVELOPMENT,
,HDI rank,71,Dominica,MEDIUM HUMAN DEVELOPMENT,"h,q"
,HDI rank,72,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,73,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,74,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,
,HDI rank,75,Colombia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,76,Ukraine,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,77,Samoa,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,78,Thailand,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,79,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,80,Belize,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,81,China,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,82,Grenada,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,83,Armenia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,84,Turkey,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,85,Suriname,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,86,Jordan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,87,Peru,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,88,Lebanon,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,89,Ecuador,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,90,Philippines,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,91,Tunisia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,92,Fiji,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,93,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,94,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,
,HDI rank,95,Paraguay,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,96,Georgia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,97,Guyana,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,98,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,99,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,100,Maldives,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,101,Jamaica,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,102,Cape Verde,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,103,El Salvador,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,104,Algeria,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,105,Viet Nam,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,106,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,107,Indonesia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,108,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,109,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,110,Nicaragua,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,111,Moldova,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,112,Egypt,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,113,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,114,Mongolia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,115,Honduras,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,116,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,117,Bolivia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,118,Guatemala,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,119,Gabon,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,120,Vanuatu,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,121,South Africa,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,122,Tajikistan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,123,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,124,Botswana,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,125,Namibia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,126,Morocco,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,127,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,128,India,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,129,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,130,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,131,Cambodia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,132,Myanmar,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,133,Bhutan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,134,Comoros,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,135,Ghana,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,136,Pakistan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,137,Mauritania,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,138,Lesotho,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,139,Congo,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,140,Bangladesh,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,141,Swaziland,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,142,Nepal,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,143,Madagascar,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,144,Cameroon,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,145,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,146,Haiti,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,147,Sudan,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,148,Kenya,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,149,Djibouti,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,150,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,151,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,152,Togo,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,153,Yemen,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,154,Uganda,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,155,Gambia,MEDIUM HUMAN DEVELOPMENT,
,HDI rank,156,Senegal,LOW HUMAN DEVELOPMENT,
,HDI rank,157,Eritrea,LOW HUMAN DEVELOPMENT,
,HDI rank,158,Nigeria,LOW HUMAN DEVELOPMENT,
,HDI rank,159,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,
,HDI rank,160,Guinea,LOW HUMAN DEVELOPMENT,
,HDI rank,161,Rwanda,LOW HUMAN DEVELOPMENT,
,HDI rank,162,Angola,LOW HUMAN DEVELOPMENT,
,HDI rank,163,Benin,LOW HUMAN DEVELOPMENT,
,HDI rank,164,Malawi,LOW HUMAN DEVELOPMENT,
,HDI rank,165,Zambia,LOW HUMAN DEVELOPMENT,
,HDI rank,166,Côte d'Ivoire,LOW HUMAN DEVELOPMENT,
,HDI rank,167,Burundi,LOW HUMAN DEVELOPMENT,
,HDI rank,168,Congo (Democratic Republic of the),LOW HUMAN DEVELOPMENT,
,HDI rank,169,Ethiopia,,
,HDI rank,170,Chad,,
,HDI rank,171,Central African Republic,,
,HDI rank,172,Mozambique,,
,HDI rank,173,Mali,,
,HDI rank,174,Niger,,
,HDI rank,175,Guinea-Bissau,,
,HDI rank,176,Burkina Faso,,
,HDI rank,177,Sierra Leone,,
,HDI rank,Developing countries,,,
,Human development index (HDI) value 2005,0.968,Iceland,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.968,Norway,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.962,Australia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.961,Canada,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.959,Ireland,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.956,Sweden,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.955,Switzerland,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.953,Japan,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.953,Netherlands,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.952,France,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.952,Finland,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.951,United States,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.949,Spain,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.949,Denmark,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.948,Austria,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.946,United Kingdom,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.946,Belgium,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.944,Luxembourg,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.943,New Zealand,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.941,Italy,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.937,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.935,Germany,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.932,Israel,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.926,Greece,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.922,Singapore,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.921,Korea (Republic of),HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.917,Slovenia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.903,Cyprus,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.897,Portugal,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.894,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.892,Barbados,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.891,Czech Republic,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.891,Kuwait,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.878,Malta,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.875,Qatar,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.874,Hungary,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.870,Poland,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.869,Argentina,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.868,United Arab Emirates,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.867,Chile,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.866,Bahrain,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.863,Slovakia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.862,Lithuania,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.860,Estonia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.855,Latvia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.852,Uruguay,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.850,Croatia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.846,Costa Rica,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.845,Bahamas,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.843,Seychelles,HIGH HUMAN DEVELOPMENT,"h,k"
,Human development index (HDI) value 2005,0.838,Cuba,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.829,Mexico,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.824,Bulgaria,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.821,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,"h,p"
,Human development index (HDI) value 2005,0.819,Tonga,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.818,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.815,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,"h,p"
,Human development index (HDI) value 2005,0.814,Oman,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.814,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.813,Romania,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.812,Saudi Arabia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.812,Panama,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.811,Malaysia,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.804,Belarus,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.804,Mauritius,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.803,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.802,Russian Federation,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.801,Albania,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.801,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.800,Brazil,HIGH HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.798,Dominica,MEDIUM HUMAN DEVELOPMENT,"h,q"
,Human development index (HDI) value 2005,0.795,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.794,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.792,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.791,Colombia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.788,Ukraine,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.785,Samoa,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.781,Thailand,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.779,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.778,Belize,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.777,China,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.777,Grenada,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.775,Armenia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.775,Turkey,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.774,Suriname,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.773,Jordan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.773,Peru,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.772,Lebanon,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.772,Ecuador,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.771,Philippines,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.766,Tunisia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.762,Fiji,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.761,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.759,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.755,Paraguay,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.754,Georgia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.750,Guyana,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.746,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.743,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.741,Maldives,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.736,Jamaica,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.736,Cape Verde,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.735,El Salvador,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.733,Algeria,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.733,Viet Nam,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.731,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.728,Indonesia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.724,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.713,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.710,Nicaragua,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.708,Moldova,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.708,Egypt,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.702,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.700,Mongolia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.700,Honduras,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.696,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.695,Bolivia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.689,Guatemala,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.677,Gabon,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.674,Vanuatu,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.674,South Africa,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.673,Tajikistan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.654,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.654,Botswana,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.650,Namibia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.646,Morocco,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.642,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.619,India,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.602,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.601,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.598,Cambodia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.583,Myanmar,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.579,Bhutan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.561,Comoros,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.553,Ghana,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.551,Pakistan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.550,Mauritania,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.549,Lesotho,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.548,Congo,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.547,Bangladesh,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.547,Swaziland,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.534,Nepal,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.533,Madagascar,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.532,Cameroon,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.530,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.529,Haiti,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.526,Sudan,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.521,Kenya,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.516,Djibouti,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.514,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.513,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.512,Togo,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.508,Yemen,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.505,Uganda,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.502,Gambia,MEDIUM HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.499,Senegal,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.483,Eritrea,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.470,Nigeria,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.467,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.456,Guinea,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.452,Rwanda,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.446,Angola,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.437,Benin,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.437,Malawi,LOW HUMAN DEVELOPMENT,
,Human development index (HDI) value 2005,0.434,Zambia,LOW HUMAN DEVELOPMENT,
